epoch,set,loss,acc
1,train,0.8112415671348572,0.5303792569659443
1,valid,134.5270334482193,0.328125
2,train,0.6039788503395883,0.6435758513931888
2,valid,43.239521622657776,0.36328125
3,train,0.4851116024349865,0.6722136222910217
3,valid,195.7159652709961,0.18802083333333333
4,train,0.3117196999098125,0.7669311145510836
4,valid,3531.0287220925093,0.3203125
5,train,0.34463616186066676,0.760545665634675
5,valid,133.49171674251556,0.359375
6,train,0.21926452533194893,0.8112422600619196
6,valid,15.642842039465904,0.28567708333333336
7,train,0.18887197971343994,0.8336397058823529
7,valid,30.443258315324783,0.09427083333333333
8,train,0.16584916412830353,0.8423955108359132
8,valid,37.61280732601881,0.26328125
9,train,0.22145512886345387,0.8315112229102167
9,valid,16.40697868168354,0.5609375
10,train,0.1815555501533182,0.8539086687306501
10,valid,46.05469096265733,0.3416666666666667
