epoch,set,loss,acc
40,train,1.7864407578068888,0.3628775407958775
40,valid,15384471.806756087,0.1215625
41,train,1.791032872601358,0.357357572287432
41,valid,439126.0596036056,0.1484375
42,train,1.7652235007238293,0.366554537646722
42,valid,62609150014393.98,0.165625
43,train,2.125034715942964,0.2534443887775551
43,valid,472.803979254514,0.183125
44,train,2.046753136810654,0.2708899942742628
44,valid,2916306.781446595,0.049375
45,train,1.9605749597052533,0.30246206699112516
45,valid,265283.9866367328,0.1871875
46,train,1.9409599660154813,0.30758839106784996
46,valid,111539.96776129484,0.253125
47,train,1.8819954476518956,0.3214554108216433
47,valid,1551222.2863726807,0.208125
48,train,1.863646410510153,0.3287288863441168
48,valid,352437.8575390625,0.056875
49,train,1.8406661956725952,0.3391246779272831
49,valid,1262202.7913176536,0.1278125
50,train,1.8980727456136792,0.3197019038076152
50,valid,9573632.353005322,0.1103125
51,train,1.8058979800325596,0.3451545949040939
51,valid,1140964.058022461,0.215
52,train,1.7718825861065086,0.3425959060979101
52,valid,7445149.927590996,0.1525
53,train,1.8213547582855683,0.33836422845691383
53,valid,488283.67261243495,0.25625
54,train,1.8741394806959346,0.3319764529058116
54,valid,1785.6475470352173,0.25375
55,train,1.850246677178897,0.3391604637847123
55,valid,12567.134126672745,0.131875
56,train,1.862120649857607,0.33775586888061837
56,valid,47.15757035017013,0.133125
57,train,1.8691928928982997,0.33560871743486975
57,valid,3170.0238592349738,0.1278125
58,train,1.8855898332500267,0.32856784998568567
58,valid,11420.475979158879,0.1415625
59,train,1.8229765089337,0.3531527340395076
59,valid,625090563.0385717,0.1846875
60,train,1.795359018809332,0.35945999141139423
60,valid,6763363.810631489,0.215
61,train,1.855569222647107,0.3417638849126825
61,valid,4310800.88546403,0.2278125
62,train,1.782083932765739,0.3568386773547094
62,valid,1310685.3184043122,0.124375
63,train,1.8040580481947783,0.34859898368164904
63,valid,563761.25616513,0.13125
64,train,1.7211926788509728,0.3696858001717721
64,valid,856673.6727493893,0.1296875
65,train,1.7145034805806223,0.3759125393644432
65,valid,430251.32226417767,0.213125
66,train,1.7156871045997482,0.3740516747781277
66,valid,34723.828534329536,0.1140625
67,train,1.7251768343912097,0.36755654165473806
67,valid,9309143.833269918,0.276875
68,train,1.6801248870058385,0.3790885342112797
68,valid,69252.33464095535,0.225
69,train,1.700435824528008,0.37433796163756083
69,valid,9721.735698242188,0.2234375
70,train,1.7386634309210616,0.3608019610649871
70,valid,886.1371231041849,0.255
71,train,1.7427495357268799,0.3667245204695105
71,valid,39101989.82910696,0.110625
72,train,1.747399001178856,0.3648010306326939
72,valid,12733829.798747873,0.2396875
73,train,1.746294537861505,0.3613566418551388
73,valid,25520206.068655845,0.126875
74,train,1.737520830186909,0.36971263956484396
74,valid,865256.5912988281,0.083125
75,train,1.7010073516077413,0.3784264958488406
75,valid,978252699.9575,0.110625
76,train,1.6633165804799908,0.3826671199541941
76,valid,1776663729.1946876,0.1321875
77,train,1.7276476922637236,0.37721872316060695
77,valid,41378259.63908662,0.1103125
78,train,1.7521001532942595,0.36505153163469795
78,valid,12483074.766754245,0.140625
79,train,1.7035488093305446,0.38162038362439166
79,valid,981.6222079586983,0.1671875
80,train,1.6705941286736834,0.389985327798454
80,valid,2075676.2533789063,0.0909375
81,train,1.6758831259243951,0.39066525908960775
81,valid,15352014.58861152,0.1503125
82,train,1.6768491394773035,0.3879097480675637
82,valid,1815143.8220355224,0.18
83,train,1.6297032663482942,0.3988244345834526
83,valid,26290788.7478125,0.176875
84,train,1.657484685012955,0.39073683080446603
84,valid,410761.75623291015,0.125625
85,train,1.6247116215004471,0.4047917263097624
85,valid,34714490.8596875,0.1278125
86,train,1.6443519398779094,0.39751825078728886
86,valid,48190770.928125,0.108125
87,train,1.6174360881587546,0.4039597051245348
87,valid,8571983529246.723,0.124375
88,train,1.7103314124988411,0.38748031777841396
88,valid,1762944081.987422,0.1425
89,train,1.6869886920065105,0.3875250501002004
