epoch,set,loss,acc
1,train,2.3482220640182496,0.29546428571428573
1,valid,1.7918080973625183,0.40541666666666665
2,train,1.9415387301445006,0.4024642857142857
2,valid,1.7213991022109985,0.448125
3,train,1.8542505774497986,0.4300178571428571
3,valid,1.5535267889499664,0.455
4,train,1.828359664440155,0.43246428571428575
4,valid,1.9027674353122712,0.395625
5,train,1.6790340013504028,0.4545892857142857
5,valid,1.7740429937839508,0.465625
6,train,1.5940267848968506,0.4715178571428571
6,valid,1.4877574932575226,0.5010416666666666
7,train,1.52731369638443,0.47746428571428573
7,valid,1.4575612032413483,0.491875
8,train,1.4711523282527923,0.492875
8,valid,1.3507302737236022,0.5239583333333333
9,train,1.4387772977352142,0.49857142857142855
9,valid,1.4074415373802185,0.5129166666666667
10,train,1.3744961261749267,0.5192857142857142
10,valid,1.6251805865764617,0.47729166666666667
11,train,1.3141181232929229,0.5391071428571429
11,valid,3.063930006027222,0.5120833333333333
12,train,1.2797297537326813,0.5445357142857142
12,valid,1.218375586271286,0.57
13,train,1.2371535930633546,0.5569821428571429
13,valid,9484.110853155851,0.5454166666666667
14,train,1.184941109418869,0.5761607142857142
14,valid,733.0644903802872,0.5779166666666666
15,train,1.1376033027172088,0.5903392857142857
15,valid,16653.03019387722,0.60625
16,train,1.0787232925891876,0.6077857142857143
16,valid,466011.2456636262,0.6245833333333334
17,train,1.051321811914444,0.6163214285714286
17,valid,1.0898624014854432,0.5925
18,train,1.1139769666194916,0.5935
18,valid,1.267981882095337,0.571875
19,train,1.209895859003067,0.5656964285714285
19,valid,4.550026429891586,0.46729166666666666
20,train,1.2775382192134856,0.551125
20,valid,1.5830471515655518,0.48125
21,train,1.2910978043079375,0.5400357142857142
21,valid,1.671913638114929,0.5047916666666666
22,train,1.2974862565994263,0.5363392857142858
22,valid,1.4365622186660767,0.5039583333333334
23,train,1.313705604314804,0.5393214285714285
23,valid,1.4313360965251922,0.5185416666666667
24,train,1.430914398908615,0.507625
24,valid,1.315957703590393,0.5477083333333334
25,train,1.436658376455307,0.5088392857142857
25,valid,2.139988195896149,0.3466666666666666
26,train,1.7543343546390533,0.43180357142857145
26,valid,26.690505187511445,0.45145833333333335
27,train,1.5453826873302459,0.47407142857142853
27,valid,1.4020273649692536,0.47375
28,train,1.415370943069458,0.49925
28,valid,3.3973989033699037,0.5302083333333334
29,train,1.3223082795143128,0.5229642857142858
29,valid,22.149039735794066,0.570625
30,train,1.2515084023475647,0.5455714285714286
30,valid,24.859271570444108,0.5425
