epoch,set,loss,acc
1,train,22.557570068359375,0.24423214285714287
1,valid,22.148876781463624,0.253125
2,train,20.62396662902832,0.32305357142857144
2,valid,18.266094579696656,0.385
3,train,19.101159576416016,0.36117857142857146
3,valid,17.60649302482605,0.418125
4,train,18.414672901153565,0.38558928571428575
4,valid,16.873513011932374,0.40020833333333333
5,train,17.740254512786866,0.40785714285714286
5,valid,16.011323308944704,0.42354166666666665
6,train,17.29582425689697,0.4122321428571429
6,valid,16.209915943145752,0.43604166666666666
7,train,16.714832920074464,0.432125
7,valid,15.577767467498779,0.47791666666666666
8,train,16.100950801849365,0.449375
8,valid,15.79384602546692,0.47958333333333336
9,train,16.102866924285888,0.45308928571428575
9,valid,14.842018728256226,0.47270833333333334
10,train,15.833608989715577,0.46242857142857147
10,valid,14.403314180374146,0.47145833333333337
11,train,15.264028228759766,0.48126785714285714
11,valid,14.389215755462647,0.49666666666666665
12,train,15.134255294799805,0.4855892857142857
12,valid,13.801174240112305,0.504375
13,train,15.437323333740235,0.4841607142857143
13,valid,15.330796766281129,0.5029166666666667
14,train,15.20309182357788,0.4840178571428571
14,valid,17.66432025909424,0.44666666666666666
15,train,14.977902633666993,0.49248214285714287
15,valid,15.306593751907348,0.44958333333333333
16,train,14.661526290893555,0.4913392857142857
16,valid,13.48226224899292,0.503125
17,train,14.192838508605957,0.5132142857142857
17,valid,13.782736387252807,0.5066666666666666
18,train,14.23077527999878,0.5149642857142858
18,valid,124.71326755523681,0.5527083333333334
19,train,13.789904563903809,0.522
19,valid,12.559678230285645,0.5552083333333333
20,train,13.697527311325073,0.5217142857142858
20,valid,13.900217065811157,0.5110416666666666
21,train,13.766824373245239,0.52925
21,valid,13.508024158477783,0.5266666666666666
22,train,13.214140298843384,0.5327857142857142
22,valid,12.156809921264648,0.5522916666666666
23,train,13.605707822799683,0.5205535714285714
23,valid,12.983960857391358,0.536875
24,train,13.520398307800294,0.5250714285714285
24,valid,12.5183021068573,0.5627083333333334
25,train,13.548021682739257,0.5245357142857142
25,valid,13.309277410507201,0.559375
26,train,13.09926943206787,0.5398928571428571
26,valid,13.923536176681518,0.5322916666666666
27,train,13.015898189544679,0.541
27,valid,12.77563762664795,0.51625
28,train,12.58452180671692,0.55125
28,valid,11.532235012054443,0.5625
29,train,12.547891618728638,0.55725
29,valid,11.58565929889679,0.5789583333333334
30,train,12.486666051864624,0.5547857142857142
30,valid,12.445579690933227,0.5360416666666666
