epoch,set,loss,acc
1,train,18.90626621246338,0.17558333333333334
1,valid,17.03825059254964,0.26483333333333337
2,train,17.686200370788573,0.23803333333333335
2,valid,18.14858414332072,0.25416666666666665
3,train,17.63411676534017,0.23390000000000002
3,valid,16.036412976582845,0.22433333333333333
4,train,16.88865020243327,0.25816666666666666
4,valid,16.599497979482013,0.26558333333333334
5,train,16.147822830200194,0.27226666666666666
5,valid,25.864449303944905,0.2755
6,train,15.453463511149089,0.3037
6,valid,1987068.9903483328,0.25958333333333333
7,train,14.573944508870444,0.3229
7,valid,773.2941516049704,0.299
8,train,12.851017127990723,0.38598333333333334
8,valid,17855.009854685464,0.41391666666666665
9,train,11.45044705581665,0.4268666666666666
9,valid,2840.274650481542,0.4310833333333333
10,train,10.3630073928833,0.46235
10,valid,144526.85919089318,0.48050000000000004
11,train,9.343466430664062,0.5074833333333334
11,valid,95098.6071369648,0.5145833333333333
12,train,9.60248255666097,0.4978666666666666
12,valid,10854.188938474656,0.4776666666666667
13,train,10.568229309082032,0.4617833333333333
13,valid,3136111.0246237405,0.44691666666666663
14,train,11.267466227213541,0.44244999999999995
14,valid,407348.1529704412,0.3378333333333333
15,train,11.965532051086425,0.42151666666666665
15,valid,11.751555906931559,0.42116666666666663
16,train,12.448710072835286,0.39565
16,valid,6483005954.655971,0.17583333333333334
17,train,20.776163991292318,0.17531666666666668
17,valid,393616597809004.1,0.24483333333333335
18,train,16.419577339172363,0.2767
18,valid,31.82616611480713,0.21933333333333332
19,train,17.418627225240073,0.24753333333333333
19,valid,5365.481214574178,0.13591666666666666
20,train,15.242258527119954,0.2889
20,valid,9902052400.07676,0.2851666666666667
21,train,14.014675928751627,0.35231666666666667
21,valid,64024794.55086268,0.40800000000000003
22,train,13.128829381306966,0.37444999999999995
22,valid,117939.67908863067,0.3740833333333333
23,train,13.06764575958252,0.37443333333333334
23,valid,6213760.780025037,0.37675000000000003
24,train,13.227276878356934,0.37251666666666666
24,valid,23565668.535033993,0.27491666666666664
25,train,16.460227040608725,0.2861666666666667
25,valid,1196605657.4288101,0.19983333333333334
26,train,16.481595408121745,0.28228333333333333
26,valid,9561336600999.693,0.2786666666666667
27,train,16.16883160909017,0.27890000000000004
27,valid,45518375431791.33,0.13858333333333334
28,train,15.067114679972331,0.30743333333333334
28,valid,1.4255464389247698e+17,0.22441666666666668
29,train,14.64048568725586,0.3134
29,valid,4543134.965307267,0.3516666666666667
30,train,12.999544169108074,0.3693166666666667
